Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
16.3600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0102	0.0000	-1083.3847	
16.5610	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4673	0.0000	0.4673	0.0000	-0.0009	0.0000	-1083.5175	
16.7600	0.0000	72.2656	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0121	0.0000	-1083.5175	
16.9600	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.4567	0.0000	0.4567	0.0000	-0.0084	0.0000	-1083.5175	
17.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.5000	0.0000	82.7637	0.0000	0.5204	0.0000	0.5204	0.0000	-0.0112	0.0000	-1083.5175	
17.3600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.5204	0.0000	0.5204	0.0000	-0.0074	0.0000	-1082.7209	
17.5600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0046	0.0000	-1083.5175	
17.7600	0.0000	72.2656	0.0000	46.1426	0.0000	62.9883	0.0000	82.7637	0.0000	0.4142	0.0000	0.4142	0.0000	-0.0102	0.0000	-1083.5175	
17.9600	0.0000	71.7773	0.0000	45.6543	0.0000	62.5000	0.0000	82.5195	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0065	0.0000	-1082.7209	
18.1600	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	82.7637	0.0000	0.4779	0.0000	0.4779	0.0000	-0.0149	0.0000	-1083.5175	
