Time [s]	Kenobi Ch.  1(Target)[mbar]	Kenobi Ch.  1(Read)[mbar]	Kenobi Ch.  2(Target)[mbar]	Kenobi Ch.  2(Read)[mbar]	Kenobi Ch.  3(Target)[mbar]	Kenobi Ch.  3(Read)[mbar]	Kenobi Ch.  4(Target)[mbar]	Kenobi Ch.  4(Read)[mbar]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	hplc(Target) [µl/min]	hplc(Read)[µl/min]	Buffer2(Target) [µl/min]	Buffer2(Read)[µl/min]	bigsensor(Target) [µl/min]	bigsensor(Read)[µl/min]	
13.7420	0.0000	71.5332	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.9240	0.0000	0.9240	0.0000	-0.0019	0.0000	-1083.5175	
13.9410	0.0000	72.2656	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.7965	0.0000	0.7965	0.0000	-0.0084	0.0000	-1083.3847	
14.1410	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.7965	0.0000	0.7965	0.0000	0.0028	0.0000	-1083.5175	
14.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0028	0.0000	-1083.5175	
14.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8071	0.0000	0.8071	0.0000	-0.0009	0.0000	-1083.5175	
14.7410	0.0000	72.0215	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0074	0.0000	-1083.2520	
14.9410	0.0000	71.7773	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	-0.0065	0.0000	-1083.5175	
15.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0009	0.0000	-1083.5175	
15.3410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0074	0.0000	-1083.5175	
15.5410	0.0000	72.2656	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	-0.0056	0.0000	-1083.5175	
15.7410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.9133	0.0000	0.9133	0.0000	-0.0056	0.0000	-1083.5175	
15.9410	0.0000	71.7773	0.0000	45.8984	0.0000	62.9883	0.0000	82.7637	0.0000	0.8815	0.0000	0.8815	0.0000	0.0028	0.0000	-1083.5175	
16.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0065	0.0000	-1083.3847	
16.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	-0.0046	0.0000	-1083.3847	
16.5410	0.0000	71.7773	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0037	0.0000	-1083.5175	
16.7410	0.0000	72.0215	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0037	0.0000	-1083.2520	
16.9410	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.7637	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0028	0.0000	-1083.1192	
17.1410	0.0000	72.0215	0.0000	45.8984	0.0000	62.7441	0.0000	83.0078	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0019	0.0000	-1083.5175	
17.3420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	0.0000	0.0000	-1083.5175	
17.5420	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0028	0.0000	-1083.3847	
17.7420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0093	0.0000	-1083.3847	
17.9410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8496	0.0000	0.8496	0.0000	0.0056	0.0000	-1083.3847	
18.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8921	0.0000	0.8921	0.0000	-0.0046	0.0000	-1083.5175	
18.3410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8921	0.0000	0.8921	0.0000	0.0009	0.0000	-1083.5175	
18.5410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0074	0.0000	-1083.3847	
18.7420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.8071	0.0000	0.8071	0.0000	-0.0046	0.0000	-1083.5175	
18.9410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0019	0.0000	-1083.1192	
19.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	-0.0093	0.0000	-1083.5175	
19.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8390	0.0000	0.8390	0.0000	0.0000	0.0000	-1083.5175	
19.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0074	0.0000	-1083.5175	
19.7420	0.0000	71.5332	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0037	0.0000	-1083.5175	
19.9420	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.7965	0.0000	0.7965	0.0000	-0.0046	0.0000	-1083.5175	
20.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0019	0.0000	-1083.3847	
20.3410	0.0000	71.5332	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0019	0.0000	-1083.5175	
20.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.5195	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0037	0.0000	-1082.7209	
20.7420	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8071	0.0000	0.8071	0.0000	-0.0046	0.0000	-1083.5175	
20.9410	0.0000	72.0215	0.0000	45.6543	0.0000	63.2324	0.0000	83.0078	0.0000	0.8602	0.0000	0.8602	0.0000	-0.0037	0.0000	-1083.5175	
21.1420	0.0000	71.7773	0.0000	45.4102	0.0000	62.5000	0.0000	82.7637	0.0000	0.9133	0.0000	0.9133	0.0000	0.0028	0.0000	-1083.2520	
21.3410	0.0000	72.0215	0.0000	45.8984	0.0000	62.9883	0.0000	83.0078	0.0000	0.8815	0.0000	0.8815	0.0000	-0.0065	0.0000	-1083.5175	
21.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0056	0.0000	-1083.5175	
21.7410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8284	0.0000	0.8284	0.0000	-0.0019	0.0000	-1083.5175	
21.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	83.2520	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0084	0.0000	-1083.5175	
22.1410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0130	0.0000	-1083.5175	
22.3410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0074	0.0000	-1083.5175	
22.5410	0.0000	72.0215	0.0000	45.6543	0.0000	62.7441	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0056	0.0000	-1083.5175	
22.7410	0.0000	72.2656	0.0000	45.6543	0.0000	62.9883	0.0000	83.0078	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0074	0.0000	-1083.5175	
22.9410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8177	0.0000	0.8177	0.0000	-0.0046	0.0000	-1082.9865	
23.1410	0.0000	72.0215	0.0000	45.8984	0.0000	63.2324	0.0000	83.0078	0.0000	0.9027	0.0000	0.9027	0.0000	-0.0028	0.0000	-1083.5175	
23.3410	0.0000	72.0215	0.0000	45.4102	0.0000	62.5000	0.0000	82.7637	0.0000	0.7753	0.0000	0.7753	0.0000	-0.0037	0.0000	-1082.7209	
23.5410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	83.0078	0.0000	0.9452	0.0000	0.9452	0.0000	-0.0065	0.0000	-1083.3847	
23.7410	0.0000	71.7773	0.0000	45.6543	0.0000	62.7441	0.0000	82.7637	0.0000	0.9133	0.0000	0.9133	0.0000	-0.0093	0.0000	-1083.5175	
23.9410	0.0000	72.0215	0.0000	45.6543	0.0000	62.9883	0.0000	82.7637	0.0000	0.8071	0.0000	0.8071	0.0000	-0.0037	0.0000	-1083.5175	
24.1410	0.0000	71.7773	0.0000	45.4102	0.0000	62.7441	0.0000	82.7637	0.0000	0.8708	0.0000	0.8708	0.0000	-0.0046	0.0000	-1083.3847	
